sqft_lot,sqft_living15,age,zipcode,bathrooms,bedrooms,renov_age,sqft_basement,grade,price
11049.0,2750.0,25.0,1355927.08,2.5,4.0,0.0,0.0,10.0,975000.0
4648.0,2221.0,9.0,280804.69,2.5,4.0,0.0,0.0,7.0,287000.0
12070.0,1010.0,46.0,311632.11,1.0,3.0,0.0,0.0,7.0,204000.0
20158.0,3390.0,49.0,1355927.08,2.25,5.0,0.0,1600.0,8.0,1325000.0
50094.0,3530.0,41.0,810164.88,3.25,5.0,0.0,1700.0,11.0,1040000.0
5612.0,1640.0,43.0,521652.86,2.0,3.0,0.0,0.0,7.0,325000.0
7807.0,1510.0,98.0,469455.77,2.0,4.0,0.0,500.0,7.0,571000.0
5000.0,2420.0,9.0,366867.6,2.5,4.0,0.0,0.0,8.0,360000.0
50529.0,1940.0,50.0,311632.11,1.75,3.0,0.0,700.0,7.0,349000.0
35102.0,3240.0,28.0,790576.65,4.0,4.0,0.0,1040.0,10.0,832500.0
7300.0,1680.0,58.0,645507.38,1.75,4.0,0.0,880.0,7.0,380000.0
5060.0,890.0,74.0,618634.17,1.0,3.0,0.0,0.0,7.0,480000.0
5060.0,1130.0,58.0,386997.4,1.0,3.0,0.0,500.0,7.0,410000.0
39683.0,3350.0,13.0,423665.99,2.5,4.0,0.0,0.0,10.0,720000.0
5100.0,2350.0,11.0,366867.6,2.5,3.0,0.0,0.0,8.0,390000.0
5889.0,1870.0,22.0,366867.6,2.5,4.0,0.0,0.0,7.0,360000.0
6720.0,1720.0,66.0,417637.43,1.0,2.0,0.0,1010.0,7.0,355000.0
8712.0,1850.0,51.0,493552.53,1.5,3.0,0.0,0.0,8.0,356000.0
6634.0,1570.0,62.0,469455.77,1.0,3.0,0.0,0.0,6.0,315000.0
3600.0,2020.0,89.0,849448.02,1.5,3.0,0.0,240.0,9.0,940000.0
8400.0,1590.0,53.0,334921.06,2.25,5.0,0.0,0.0,7.0,305000.0
6278.0,1900.0,8.0,420890.55,3.25,3.0,0.0,790.0,9.0,461000.0
2040.0,1950.0,35.0,420890.55,2.25,2.0,0.0,0.0,7.0,215000.0
1066.0,1030.0,8.0,551688.67,1.75,2.0,0.0,265.0,7.0,335000.0
7403.0,1980.0,26.0,286732.79,2.5,4.0,0.0,0.0,7.0,243500.0
6353.0,2520.0,14.0,791820.81,2.75,5.0,0.0,0.0,10.0,1099880.0
10500.0,1350.0,53.0,286732.79,1.0,3.0,0.0,0.0,7.0,153000.0
5000.0,1570.0,75.0,576795.01,1.5,3.0,0.0,290.0,8.0,430000.0
5000.0,1570.0,75.0,576795.01,1.5,3.0,0.0,290.0,8.0,700000.0
10250.0,1950.0,68.0,1194230.02,2.5,4.0,45.0,910.0,7.0,905000.0
15681.0,1750.0,48.0,251296.24,1.75,3.0,0.0,0.0,7.0,247500.0
6400.0,1160.0,39.0,286732.79,1.5,4.0,0.0,0.0,7.0,199000.0
41800.0,1650.0,34.0,366867.6,1.75,3.0,0.0,600.0,7.0,314000.0
36847.0,2550.0,22.0,439471.08,2.5,3.0,0.0,0.0,9.0,437500.0
13241.0,2200.0,104.0,901258.27,2.5,3.0,0.0,800.0,9.0,850830.0
3478.0,1610.0,85.0,576795.01,2.0,3.0,0.0,540.0,7.0,555000.0
107593.0,2570.0,31.0,682774.88,2.25,3.0,0.0,0.0,8.0,699950.0
8113.0,2370.0,64.0,1355927.08,2.5,3.0,60.0,0.0,8.0,1088000.0
33919.0,1640.0,60.0,353608.64,1.0,3.0,0.0,0.0,7.0,290000.0
10005.0,2250.0,37.0,353608.64,2.5,3.0,0.0,880.0,8.0,375000.0
4005.0,1240.0,75.0,576795.01,1.0,3.0,0.0,500.0,7.0,460000.0
2493.0,1270.0,29.0,302878.88,1.75,2.0,0.0,0.0,8.0,188500.0
28037.0,2990.0,24.0,682774.88,2.5,4.0,0.0,0.0,10.0,680000.0
12342.0,2500.0,72.0,645231.46,1.75,5.0,0.0,0.0,7.0,470000.0
9624.0,1940.0,30.0,616990.59,2.5,4.0,0.0,0.0,8.0,597750.0
3328.0,1380.0,110.0,585085.47,1.75,3.0,0.0,560.0,6.0,570000.0
12600.0,1540.0,34.0,366867.6,1.75,3.0,0.0,380.0,7.0,272500.0
5969.0,2090.0,43.0,355678.52,1.75,3.0,0.0,1000.0,7.0,329950.0
16171.0,2640.0,13.0,280804.69,2.5,4.0,0.0,710.0,9.0,480000.0
6350.0,1830.0,114.0,576795.01,3.5,3.0,99.0,1600.0,8.0,740500.0
1102.0,1620.0,4.0,585085.47,3.5,3.0,0.0,0.0,8.0,518500.0
6780.0,1190.0,69.0,310612.76,1.0,2.0,0.0,0.0,6.0,205425.0
9600.0,1880.0,65.0,240328.37,2.0,4.0,0.0,0.0,6.0,171800.0
2982.0,1610.0,90.0,594547.65,1.0,4.0,0.0,0.0,7.0,535000.0
6474.0,2340.0,51.0,676185.39,2.5,3.0,0.0,840.0,8.0,660000.0
9132.0,1580.0,27.0,521652.86,2.0,3.0,0.0,0.0,7.0,391500.0
6000.0,1710.0,62.0,576795.01,1.0,2.0,0.0,0.0,6.0,395000.0
4400.0,1850.0,90.0,417637.43,1.75,4.0,0.0,380.0,7.0,445000.0
10204.0,2700.0,24.0,645231.46,2.25,3.0,0.0,0.0,9.0,770000.0
17789.0,3060.0,101.0,1355927.08,2.75,4.0,78.0,770.0,8.0,1450000.0
8201.0,2660.0,47.0,310612.76,2.25,3.0,0.0,480.0,8.0,445000.0
8811.0,2090.0,36.0,286732.79,2.25,4.0,0.0,800.0,8.0,260000.0
4960.0,1700.0,88.0,585085.47,3.5,5.0,0.0,600.0,7.0,822500.0
4310.0,1970.0,11.0,527961.2,2.5,4.0,0.0,0.0,7.0,430000.0
7875.0,1420.0,29.0,334921.06,1.75,3.0,0.0,0.0,7.0,212000.0
9603.0,2060.0,29.0,616990.59,2.25,4.0,0.0,570.0,8.0,660500.0
111078.0,2480.0,25.0,645231.46,3.5,3.0,0.0,1490.0,9.0,784000.0
2287.0,1690.0,0.0,612653.61,2.5,3.0,0.0,620.0,8.0,453246.0
2278.0,1540.0,10.0,579053.42,3.5,4.0,0.0,0.0,9.0,675000.0
17390.0,1550.0,58.0,294111.28,1.75,3.0,0.0,0.0,7.0,199000.0
7840.0,1750.0,46.0,294111.28,1.75,4.0,0.0,1010.0,7.0,220000.0
10002.0,1550.0,46.0,462480.04,2.25,4.0,0.0,1250.0,8.0,452000.0
4440.0,1060.0,33.0,469455.77,1.0,2.0,0.0,0.0,6.0,382500.0
1249.0,1350.0,0.0,579053.42,2.25,3.0,0.0,0.0,8.0,519950.0
3200.0,1170.0,89.0,849448.02,1.0,2.0,0.0,0.0,7.0,665000.0
9375.0,2820.0,46.0,859684.78,2.5,5.0,0.0,1270.0,8.0,527700.0
8579.0,1610.0,53.0,353608.64,1.0,3.0,0.0,600.0,7.0,205000.0
8097.0,1560.0,92.0,386997.4,1.0,3.0,0.0,120.0,7.0,420000.0
8517.0,2230.0,54.0,859684.78,2.25,4.0,0.0,650.0,8.0,500000.0
315374.0,2840.0,20.0,682774.88,2.5,4.0,0.0,0.0,9.0,921500.0
4000.0,2200.0,109.0,879623.62,1.0,4.0,0.0,180.0,8.0,890000.0
60984.0,1940.0,7.0,616990.59,2.5,2.0,0.0,0.0,7.0,430000.0
12500.0,1360.0,54.0,251296.24,2.0,5.0,0.0,1130.0,8.0,258000.0
3455.0,1450.0,67.0,585085.47,1.0,3.0,0.0,450.0,7.0,511000.0
3090.0,1500.0,24.0,585085.47,2.0,3.0,0.0,0.0,8.0,532170.0
5000.0,1420.0,68.0,579053.42,1.0,3.0,0.0,0.0,7.0,560000.0
8200.0,1680.0,61.0,294111.28,1.0,3.0,0.0,0.0,7.0,282950.0
5100.0,1010.0,72.0,619900.55,1.0,1.0,0.0,0.0,7.0,350000.0
7669.0,1190.0,47.0,353608.64,1.0,3.0,0.0,0.0,7.0,215000.0
25245.0,2640.0,18.0,420890.55,3.5,5.0,0.0,1460.0,9.0,650000.0
7500.0,1980.0,47.0,286732.79,2.75,4.0,0.0,1020.0,8.0,320000.0
7198.0,1160.0,98.0,315709.3,2.0,3.0,97.0,0.0,7.0,247000.0
11180.0,1730.0,46.0,493552.53,1.75,4.0,0.0,0.0,8.0,320000.0
8632.0,1010.0,52.0,359483.24,2.25,5.0,0.0,1030.0,7.0,255000.0
9660.0,1200.0,53.0,521652.86,1.75,3.0,0.0,0.0,7.0,438000.0
16603.0,3400.0,15.0,790576.65,2.5,3.0,0.0,0.0,10.0,900000.0
7280.0,1710.0,35.0,521652.86,2.75,3.0,0.0,750.0,7.0,441000.0
38332.0,2110.0,39.0,616990.59,2.0,3.0,0.0,1010.0,7.0,420000.0
7000.0,1640.0,38.0,521652.86,1.75,3.0,0.0,400.0,7.0,370000.0
7250.0,1830.0,66.0,302878.88,1.75,2.0,0.0,640.0,5.0,269950.0
4499.0,2920.0,16.0,859684.78,2.5,4.0,0.0,0.0,9.0,807100.0
9750.0,2480.0,35.0,521652.86,2.5,3.0,0.0,1070.0,8.0,653000.0
8336.0,1770.0,50.0,386997.4,2.0,3.0,0.0,0.0,7.0,371500.0
21000.0,1070.0,61.0,464231.84,1.75,3.0,0.0,0.0,7.0,284000.0
7140.0,1930.0,37.0,286732.79,1.75,3.0,0.0,490.0,7.0,272000.0
7912.0,1480.0,59.0,386997.4,1.5,3.0,0.0,0.0,7.0,313000.0
35003.0,3740.0,31.0,803719.52,2.5,4.0,0.0,1310.0,10.0,917500.0
8190.0,2260.0,34.0,859684.78,2.25,4.0,0.0,0.0,8.0,673000.0
1100.0,1590.0,7.0,634360.18,2.5,3.0,0.0,300.0,8.0,425000.0
5400.0,1280.0,28.0,594547.65,2.75,5.0,0.0,650.0,7.0,399950.0
4800.0,1200.0,113.0,634360.18,1.0,3.0,0.0,0.0,6.0,385000.0
7560.0,1950.0,39.0,315709.3,1.5,3.0,0.0,630.0,7.0,269950.0
8220.0,1540.0,66.0,676185.39,1.0,2.0,0.0,290.0,7.0,330000.0
5797.0,1670.0,26.0,296187.98,2.5,3.0,0.0,0.0,7.0,260000.0
5125.0,1410.0,90.0,424706.36,3.0,4.0,0.0,700.0,7.0,470000.0
9600.0,2290.0,53.0,521652.86,3.0,4.0,0.0,0.0,7.0,589000.0
3419.0,1050.0,18.0,366867.6,1.5,2.0,0.0,0.0,7.0,163500.0
13412.0,2260.0,21.0,645231.46,2.75,4.0,0.0,990.0,9.0,835000.0
12850.0,2540.0,28.0,803719.52,3.0,5.0,0.0,2000.0,10.0,1095000.0
10000.0,2190.0,46.0,286732.79,1.75,4.0,0.0,390.0,8.0,269000.0
8744.0,2030.0,27.0,685605.78,2.5,3.0,0.0,0.0,8.0,560000.0
2400.0,1330.0,114.0,585085.47,1.0,4.0,0.0,0.0,6.0,615000.0
10026.0,2230.0,39.0,645231.46,2.25,3.0,0.0,800.0,8.0,585188.0
9480.0,1540.0,37.0,521652.86,1.75,3.0,0.0,430.0,7.0,305000.0
8820.0,1230.0,55.0,353608.64,1.0,3.0,0.0,0.0,6.0,166950.0
9897.0,2680.0,55.0,1194230.02,2.5,3.0,0.0,0.0,8.0,799000.0
7508.0,1900.0,52.0,386997.4,2.5,3.0,0.0,760.0,7.0,400000.0
10228.0,1570.0,66.0,423725.7,1.0,3.0,0.0,0.0,7.0,230000.0
5025.0,2550.0,11.0,286732.79,2.5,3.0,0.0,0.0,8.0,256883.0
6480.0,1500.0,94.0,355678.52,2.0,4.0,0.0,840.0,7.0,423000.0
4084.0,1750.0,7.0,424706.36,2.5,3.0,0.0,0.0,8.0,465000.0
66211.0,2330.0,18.0,580526.79,2.5,3.0,0.0,0.0,7.0,440000.0
155073.0,1560.0,45.0,366867.6,1.75,3.0,0.0,0.0,7.0,385000.0
11725.0,1300.0,72.0,420890.55,1.0,3.0,0.0,0.0,6.0,210000.0
14952.0,2030.0,20.0,311632.11,2.5,3.0,0.0,0.0,8.0,297000.0
5000.0,1680.0,62.0,579053.42,1.0,3.0,0.0,0.0,7.0,470000.0
7370.0,1430.0,38.0,286732.79,1.5,3.0,0.0,400.0,7.0,226500.0
8450.0,1400.0,53.0,493552.53,1.0,3.0,0.0,0.0,6.0,274250.0
11010.0,2770.0,48.0,1194230.02,1.75,4.0,0.0,850.0,9.0,840000.0
4587.0,2750.0,4.0,645231.46,2.5,3.0,0.0,0.0,8.0,677900.0
5864.0,1290.0,100.0,618634.17,1.0,3.0,0.0,0.0,7.0,425000.0
9600.0,1250.0,73.0,464231.84,0.75,2.0,0.0,0.0,6.0,180250.0
3404.0,1560.0,94.0,386997.4,3.0,6.0,74.0,700.0,7.0,464000.0
7579.0,1630.0,22.0,366867.6,2.25,4.0,0.0,0.0,8.0,320000.0
1566.0,1160.0,0.0,862825.23,2.25,3.0,0.0,210.0,8.0,625504.0
12032.0,2520.0,31.0,685605.78,2.5,4.0,0.0,0.0,9.0,592500.0
17936.0,2590.0,10.0,280804.69,2.5,3.0,0.0,0.0,9.0,465000.0
6270.0,2130.0,36.0,417637.43,2.75,4.0,0.0,0.0,8.0,477000.0
16400.0,1100.0,92.0,240328.37,1.0,2.0,0.0,0.0,6.0,280000.0
33474.0,3836.0,58.0,1194230.02,3.0,5.0,34.0,1430.0,9.0,1505000.0
5692.0,1320.0,14.0,359483.24,2.5,3.0,0.0,0.0,8.0,445838.0
14864.0,2580.0,67.0,594547.65,2.25,2.0,0.0,1950.0,8.0,1072000.0
10800.0,2120.0,67.0,676185.39,1.5,2.0,0.0,0.0,8.0,467000.0
6440.0,3070.0,15.0,790576.65,2.5,4.0,0.0,0.0,10.0,686000.0
9750.0,1900.0,53.0,302878.88,2.0,3.0,0.0,400.0,7.0,279950.0
19436.0,1910.0,27.0,490351.47,2.25,4.0,0.0,0.0,8.0,527000.0
16020.0,2080.0,48.0,296187.98,2.25,3.0,0.0,440.0,8.0,325000.0
8379.0,2020.0,20.0,366867.6,2.25,3.0,0.0,0.0,7.0,328000.0
7500.0,1280.0,72.0,359483.24,2.25,3.0,0.0,0.0,7.0,390000.0
6516.0,1640.0,10.0,678163.06,2.0,2.0,0.0,0.0,8.0,479950.0
9753.0,1510.0,36.0,286732.79,2.25,4.0,0.0,600.0,7.0,264950.0
15246.0,1960.0,54.0,300539.89,1.0,3.0,0.0,450.0,7.0,235000.0
4729.0,2250.0,11.0,678163.06,2.5,3.0,0.0,0.0,7.0,516500.0
15798.0,2030.0,100.0,464231.84,1.75,2.0,63.0,220.0,7.0,655000.0
15347.0,2280.0,54.0,493552.53,2.75,4.0,0.0,0.0,7.0,500000.0
7350.0,2120.0,36.0,286732.79,2.75,6.0,0.0,1160.0,8.0,315000.0
10200.0,1150.0,53.0,580526.79,1.0,2.0,0.0,0.0,6.0,213000.0
5280.0,2090.0,67.0,355678.52,1.5,3.0,0.0,860.0,7.0,475000.0
28040.0,3430.0,31.0,803719.52,4.0,5.0,0.0,0.0,10.0,1025000.0
94300.0,2070.0,39.0,423665.99,2.0,3.0,0.0,580.0,7.0,416000.0
4740.0,1510.0,111.0,634360.18,1.0,4.0,0.0,300.0,7.0,410000.0
221284.0,2920.0,21.0,682774.88,3.5,3.0,0.0,300.0,10.0,800000.0
14034.0,2600.0,49.0,294111.28,2.5,6.0,0.0,2060.0,9.0,472000.0
8505.0,1190.0,46.0,294111.28,1.75,3.0,0.0,0.0,7.0,225000.0
6000.0,830.0,74.0,424706.36,1.0,2.0,0.0,0.0,6.0,210000.0
5000.0,1450.0,90.0,619900.55,1.0,2.0,0.0,0.0,7.0,455000.0
8316.0,1260.0,61.0,234284.04,1.0,3.0,0.0,0.0,6.0,225000.0
3060.0,1390.0,96.0,585085.47,1.0,2.0,0.0,240.0,7.0,480000.0
11872.0,2570.0,25.0,286732.79,2.5,3.0,0.0,0.0,9.0,363000.0
5120.0,1150.0,61.0,319581.39,1.5,2.0,0.0,0.0,6.0,181000.0
7312.0,2010.0,39.0,234284.04,2.0,4.0,0.0,0.0,7.0,250000.0
3000.0,1390.0,97.0,585085.47,1.75,3.0,0.0,790.0,6.0,481000.0
7209.0,1750.0,36.0,251296.24,2.0,3.0,0.0,570.0,7.0,260000.0
7685.0,3060.0,13.0,353608.64,2.5,4.0,0.0,0.0,9.0,455000.0
36224.0,1730.0,24.0,439471.08,2.25,3.0,0.0,0.0,8.0,415000.0
3538.0,1620.0,62.0,417637.43,1.0,3.0,0.0,600.0,7.0,349500.0
7442.0,1630.0,27.0,296187.98,2.5,3.0,0.0,0.0,7.0,245000.0
9191.0,1420.0,86.0,619900.55,2.0,2.0,0.0,0.0,7.0,592500.0
7620.0,1910.0,59.0,319581.39,1.75,4.0,0.0,1180.0,7.0,385000.0
11455.0,1550.0,41.0,493552.53,1.75,3.0,0.0,380.0,7.0,315000.0
10170.0,1380.0,35.0,439471.08,1.0,3.0,0.0,0.0,7.0,255000.0
4425.0,2990.0,8.0,645231.46,2.5,4.0,0.0,0.0,8.0,693000.0
4400.0,1660.0,103.0,1095499.34,1.0,3.0,0.0,200.0,8.0,780000.0
8470.0,1600.0,54.0,302878.88,1.75,3.0,0.0,0.0,7.0,237000.0
40510.0,2380.0,35.0,685605.78,2.25,3.0,0.0,780.0,10.0,525000.0
5040.0,1330.0,85.0,594547.65,1.0,2.0,0.0,0.0,5.0,425000.0
10079.0,1230.0,78.0,487479.63,0.75,1.0,0.0,0.0,5.0,369900.0
7280.0,1950.0,26.0,300539.89,2.5,4.0,0.0,0.0,7.0,290000.0
10701.0,1130.0,60.0,319581.39,1.0,3.0,0.0,0.0,7.0,285000.0
4500.0,1320.0,77.0,619900.55,1.0,2.0,0.0,0.0,7.0,415000.0
9900.0,2070.0,36.0,286732.79,2.5,3.0,0.0,650.0,8.0,272500.0
57346.0,4180.0,25.0,682774.88,4.75,4.0,0.0,0.0,11.0,1365000.0
7538.0,1440.0,76.0,386997.4,1.0,2.0,0.0,0.0,7.0,436000.0
11390.0,1350.0,47.0,294111.28,1.0,3.0,0.0,0.0,7.0,210000.0
5898.0,1320.0,53.0,310612.76,1.0,3.0,0.0,0.0,7.0,236000.0
1306.0,1440.0,60.0,791820.81,1.75,3.0,49.0,500.0,7.0,331000.0
4510.0,2653.0,9.0,300539.89,2.5,3.0,0.0,0.0,8.0,365000.0
16258.0,1660.0,55.0,353608.64,2.0,3.0,0.0,0.0,8.0,450000.0
26300.0,1860.0,0.0,462480.04,2.75,4.0,0.0,970.0,9.0,770000.0
49375.0,2670.0,18.0,366867.6,2.5,4.0,0.0,0.0,8.0,455000.0
6000.0,2020.0,107.0,417637.43,1.75,3.0,0.0,1150.0,6.0,405000.0
11325.0,1720.0,45.0,300539.89,1.75,4.0,0.0,990.0,7.0,304900.0
5265.0,1650.0,84.0,310612.76,1.0,2.0,0.0,0.0,6.0,170000.0
7048.0,3920.0,9.0,678163.06,2.5,4.0,0.0,0.0,9.0,780000.0
13959.0,2570.0,27.0,462480.04,3.0,3.0,0.0,680.0,8.0,330000.0
8666.0,2410.0,22.0,296187.98,2.5,4.0,0.0,0.0,9.0,370000.0
13500.0,2300.0,35.0,569958.47,2.25,5.0,0.0,650.0,7.0,467000.0
6720.0,1670.0,35.0,521652.86,1.75,3.0,0.0,530.0,7.0,405000.0
10300.0,2310.0,29.0,859684.78,2.25,5.0,0.0,1450.0,8.0,675000.0
14100.0,1520.0,60.0,859684.78,1.0,2.0,0.0,500.0,7.0,500000.0
15770.0,2410.0,46.0,464231.84,2.5,4.0,0.0,0.0,7.0,389999.0
9025.0,2120.0,40.0,521652.86,1.75,4.0,0.0,1170.0,8.0,630000.0
9528.0,2280.0,22.0,280804.69,2.5,4.0,0.0,0.0,9.0,360000.0
11060.0,2320.0,28.0,420890.55,3.0,4.0,0.0,1010.0,8.0,580000.0
4166.0,2390.0,85.0,424706.36,2.0,3.0,0.0,700.0,8.0,550000.0
22111.0,3150.0,20.0,790576.65,2.5,4.0,0.0,0.0,10.0,879000.0
8959.0,1740.0,21.0,311632.11,2.0,3.0,0.0,0.0,7.0,265000.0
7286.0,2400.0,25.0,493552.53,2.5,3.0,0.0,0.0,8.0,446500.0
8880.0,2140.0,51.0,355678.52,1.5,3.0,0.0,700.0,7.0,404000.0
11914.0,1630.0,57.0,289078.35,1.75,3.0,0.0,500.0,7.0,267500.0
7632.0,2510.0,16.0,294111.28,2.5,3.0,0.0,0.0,8.0,335000.0
9000.0,2190.0,66.0,576795.01,2.5,3.0,0.0,970.0,7.0,576000.0
3810.0,2370.0,9.0,366867.6,2.5,3.0,0.0,0.0,8.0,208633.0
8750.0,1460.0,51.0,464231.84,2.25,3.0,0.0,1080.0,7.0,315000.0
3300.0,1740.0,102.0,1095499.34,1.75,3.0,0.0,960.0,8.0,725000.0
7750.0,1800.0,50.0,676185.39,2.75,4.0,0.0,400.0,8.0,550000.0
7297.0,2250.0,30.0,685605.78,2.25,4.0,0.0,0.0,8.0,610750.0
5000.0,1460.0,107.0,862825.23,1.0,2.0,0.0,0.0,6.0,550700.0
10574.0,2720.0,55.0,420890.55,2.75,4.0,0.0,1100.0,8.0,665000.0
4000.0,2440.0,87.0,594547.65,2.5,4.0,0.0,390.0,8.0,834000.0
78408.0,1660.0,99.0,527961.2,1.75,5.0,0.0,0.0,6.0,201000.0
12103.0,3860.0,17.0,859684.78,3.25,4.0,0.0,1600.0,11.0,1384000.0
12103.0,3860.0,17.0,859684.78,3.25,4.0,0.0,1600.0,11.0,1400000.0
7700.0,2150.0,35.0,353608.64,2.25,4.0,0.0,600.0,8.0,305000.0
14052.0,1570.0,67.0,386997.4,2.0,3.0,0.0,870.0,8.0,487000.0
64904.0,2350.0,27.0,311632.11,2.5,3.0,0.0,0.0,8.0,390000.0
3864.0,1570.0,98.0,585085.47,1.0,2.0,0.0,300.0,7.0,548000.0
8775.0,1310.0,71.0,464231.84,1.0,4.0,0.0,0.0,6.0,268750.0
7119.0,1560.0,1.0,645231.46,2.75,5.0,0.0,0.0,9.0,819900.0
16200.0,2660.0,30.0,616990.59,2.25,3.0,0.0,0.0,8.0,520000.0
11204.0,1520.0,11.0,280804.69,2.0,3.0,0.0,0.0,7.0,230000.0
